RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Alex Pereira,Jamahal Hill,-130,110,76.9231,110,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,TRUE,Light Heavyweight,MALE,5,0,4,0,7.18,0.54,0,0,0,4,1,20,1,0,0,2,5,0,0,7,Southpaw,193.04,200.66,205,0,2,0,5.23,0.63,0.3,0.17,1,4,1,18,4,0,1,1,4,0,0,6,Orthodox,193.04,200.66,205,36,32,0,2,0,1,0,2,-3,1,0,0,0,-4,1.95,-0.3,-0.17,,1,0,,,,,,0,,,,,,,4,,,,,,1,,,,,,,,Red,KO/TKO,Punch,1,3:14,194,600,650,2000,1400,110,200
Zhang Weili,Yan Xiaonan,-455,350,21.978,350,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,TRUE,Women's Strawweight,FEMALE,5,0,2,0,4.97,0.44,0,1,0.73,6,2,29,0,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,0,3,0,5.66,0.53,0.5,2.51,0.46,5,2,28,6,0,1,3,2,2,0,8,Switch,162.56,160.02,115,34,34,0,-1,1,0,0,1,-6,-1,-2,2.54,0,0,-0.69,-0.5,-1.51,,1,0,,,0,,,,,,,,,,2,,,1,,,,,,,,,,10,Red,U-DEC,,5,5:00,1500,200,,400,,140,
Justin Gaethje,Max Holloway,-185,154,54.0541,154,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,7.17,0.48,0.3,0.25,0.53,13,7,93,9,0,1,8,10,2,0,21,Orthodox,180.34,175.26,145,0,2,0,6.78,0.59,0,0.11,0.25,4,4,28,2,1,0,1,6,0,0,8,Orthodox,180.34,177.8,155,35,32,0,0,9,13,3,65,7,4,2,0,-2.54,-3,0.39,0.3,0.14,,,2,,,,,,,,,2,,,,,,,,,,,,,,2,,,14,Red,KO/TKO,Punch,5,4:59,1499,300,250,2200,1600,150,550
Charles Oliveira,Arman Tsarukyan,190,-218,190,45.8716,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,3,0,3.79,0.48,0,3.25,0.37,5,2,27,0,0,0,4,4,0,0,8,Orthodox,170.18,182.88,155,0,1,0,3.39,0.53,2.8,2.17,0.4,11,9,60,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,34,27,0,2,-6,-14,-7,-33,-3,0,-16,-7.62,-5.08,-7,0.4,-2.8,1.08,,4,1,,,,,,,,,1,,,,7,,,,,,,,,4,,,,,Red,S-DEC,,3,5:00,900,900,330,450,700,550,130
Bo Nickal,Cody Brundage,-1600,900,6.25,900,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,2,0,1.62,0.54,0.9,2.31,0.5,2,5,14,0,0,0,0,2,1,0,4,Orthodox,182.88,182.88,185,0,4,0,1.64,0.62,7.5,7.46,0.5,4,0,4,0,0,0,0,1,3,0,4,Southpaw,185.42,193.04,185,28,29,0,-2,-2,0,5,10,0,1,-2,-2.54,-10.16,1,-0.02,-6.6,-5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:38,518,1000,3000,-135,3000,150,1400
Jiri Prochazka,Aleksandar Rakic,105,-125,105,80,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,4.26,0.5,0.1,0.76,0.25,4,2,20,0,0,0,4,2,0,0,6,Orthodox,193.04,198.12,205,1,0,0,5.38,0.55,0.2,0.72,0.6,3,1,11,3,0,0,0,2,1,0,3,Orthodox,190.5,203.2,205,31,32,0,0,1,3,1,9,-3,0,-1,2.54,-5.08,1,-1.12,-0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:17,497,650,275,1200,1800,165,225
Calvin Kattar,Aljamain Sterling,154,-185,154,54.0541,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,4.61,0.52,0.7,2.31,0.27,9,4,54,5,0,2,6,2,4,0,15,Orthodox,170.18,180.34,145,2,0,0,4.76,0.39,0.1,0.39,0.29,2,5,38,0,0,0,3,4,0,0,7,Orthodox,180.34,182.88,145,36,34,-1,0,7,8,-1,16,5,-2,4,-10.16,-2.54,-2,-0.15,0.6,1.92,,,8,,,,,,,,,,8,,,,,,,,,,,,,,2,,15,Red,U-DEC,,3,5:00,900,,140,,350,,800
Holly Holm,Kayla Harrison,350,-455,350,21.978,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,7.52,0.71,2.2,4.42,0.4,0,0,0,0,0,0,0,0,0,0,0,Southpaw,172.72,167.64,135,0,1,0,3.13,0.4,0.1,0.87,0.3,3,6,53,5,0,1,5,2,0,0,8,Southpaw,172.72,175.26,135,42,33,0,-1,-3,-8,-6,-53,-5,-2,0,0,-7.62,-9,4.39,2.1,3.55,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2,1:47,407,600,140,3500,225,1000,350
Sodiq Yusuff,Diego Lopes,120,-142,120,70.4225,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,3.24,0.55,3.7,0.33,0.25,2,2,8,0,0,0,0,1,1,0,2,Orthodox,180.34,182.88,145,1,0,0,5.66,0.49,0.4,0.28,0.2,5,2,23,0,0,0,4,2,1,0,7,Orthodox,175.26,180.34,145,30,29,-1,2,-3,-5,0,-15,0,-1,0,5.08,2.54,-1,-2.42,3.3,0.05,,,13,,,,,,,,,,13,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1,1:29,89,275,550,1400,300,400,250
Jalin Turner,Renato Moicano,,,,,4/13/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,4.38,0.48,0.6,1.89,0.45,3,5,33,0,0,2,2,0,6,0,10,Orthodox,180.34,182.88,155,0,1,0,5.6,0.48,1.1,0.79,0.55,5,4,21,0,0,0,0,5,3,0,8,Southpaw,190.5,195.58,155,28,34,0,1,-2,2,1,12,0,-5,3,-10.16,-12.7,6,-1.22,-0.5,1.1,,13,10,,,,,,,,,10,,,,,,,,,,,,,13,,,,,Red,KO/TKO,Punches,2,4:11,551,,,,,,
